#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 03 07 30 202  5.4 999 99.0 9999
2009 01 03 07 40 195  5.8 999 99.0 9999
2009 01 03 07 50 198  5.9 999 99.0 9999
2009 01 03 08 00 203  5.5 196  7.8 0737
2009 01 03 08 10 206  5.8 999 99.0 9999
2009 01 03 08 20 208  5.4 999 99.0 9999
2009 01 03 08 30 209  5.9 999 99.0 9999
2009 01 03 08 40 201  6.2 999 99.0 9999
2009 01 03 08 50 202  6.6 999 99.0 9999
2009 01 03 09 00 205  5.0 192  8.9 0841
2009 01 03 09 10 209  4.7 999 99.0 9999
2009 01 03 09 20 211  4.7 999 99.0 9999
2009 01 03 09 30 212  5.6 999 99.0 9999
2009 01 03 09 40 207  5.8 999 99.0 9999
2009 01 03 09 50 210  5.3 999 99.0 9999
2009 01 03 10 00 210  5.6 204  8.4 0933
2009 01 03 10 10 208  6.8 999 99.0 9999
2009 01 03 10 20 205  7.2 999 99.0 9999
2009 01 03 10 30 191  6.4 999 99.0 9999
2009 01 03 10 40 203  6.8 999 99.0 9999
2009 01 03 10 50 208  5.8 999 99.0 9999
2009 01 03 11 00 212  5.8 208  9.1 1008
2009 01 03 11 10 210  6.4 999 99.0 9999
2009 01 03 11 20 210  6.1 999 99.0 9999
2009 01 03 11 30 210  6.5 999 99.0 9999
2009 01 03 11 40 208  6.5 999 99.0 9999
2009 01 03 11 50 212  6.4 999 99.0 9999
2009 01 03 12 00 211  6.9 212  8.6 1135
2009 01 03 12 10 206  6.5 999 99.0 9999
2009 01 03 12 20 211  6.2 999 99.0 9999
2009 01 03 12 30 211  5.8 999 99.0 9999
2009 01 03 12 40 215  6.0 999 99.0 9999
2009 01 03 12 50 218  6.2 999 99.0 9999
2009 01 03 13 00 221  7.4 220  9.1 1251
2009 01 03 13 10 213  6.9 999 99.0 9999
2009 01 03 13 20 206  5.8 999 99.0 9999
2009 01 03 13 30 204  6.0 999 99.0 9999
2009 01 03 13 40 207  6.9 999 99.0 9999
2009 01 03 13 50 211  6.9 999 99.0 9999
2009 01 03 14 00 211  6.7 212  8.9 1303
2009 01 03 14 10 213  7.5 999 99.0 9999
2009 01 03 14 20 208  7.6 999 99.0 9999
2009 01 03 14 30 208  8.3 999 99.0 9999
2009 01 03 14 40 198  7.7 999 99.0 9999
2009 01 03 14 50 203  6.6 999 99.0 9999
2009 01 03 15 00 208  5.8 207 10.2 1426
2009 01 03 15 10 207  6.1 999 99.0 9999
2009 01 03 15 20 191  5.5 999 99.0 9999
2009 01 03 15 30 185  6.9 999 99.0 9999
2009 01 03 15 40 192  7.1 999 99.0 9999
2009 01 03 15 50 201  7.3 999 99.0 9999
2009 01 03 16 00 197  7.3 182  9.3 1526
2009 01 03 16 10 190  6.8 999 99.0 9999
2009 01 03 16 20 196  6.6 999 99.0 9999
2009 01 03 16 30 199  7.0 999 99.0 9999
2009 01 03 16 40 196  7.5 999 99.0 9999
2009 01 03 16 50 185  7.2 999 99.0 9999
2009 01 03 17 00 189  7.2 202  9.0 1633
2009 01 03 17 10 188  7.3 999 99.0 9999
2009 01 03 17 20 182  7.5 999 99.0 9999
2009 01 03 17 30 180  8.0 999 99.0 9999
2009 01 03 17 40 179  7.8 999 99.0 9999
2009 01 03 17 50 182  7.9 999 99.0 9999
2009 01 03 18 00 188  7.8 198 10.4 1759
2009 01 03 18 10 192  8.9 999 99.0 9999
2009 01 03 18 20 193  8.6 999 99.0 9999
2009 01 03 18 30 194  8.6 999 99.0 9999
2009 01 03 18 40 192 10.1 999 99.0 9999
2009 01 03 18 50 187  9.6 999 99.0 9999
2009 01 03 19 00 182  9.2 192 12.0 1836
2009 01 03 19 10 184  9.8 999 99.0 9999
2009 01 03 19 20 183  9.7 999 99.0 9999
2009 01 03 19 30 184  9.5 999 99.0 9999
2009 01 03 19 40 183 10.8 999 99.0 9999
2009 01 03 19 50 180 10.5 999 99.0 9999
2009 01 03 20 00 179 10.6 179 13.8 1936
2009 01 03 20 10 181 10.9 999 99.0 9999
2009 01 03 20 20 180 10.2 999 99.0 9999
2009 01 03 20 30 178 10.7 999 99.0 9999
2009 01 03 20 40 177 10.8 999 99.0 9999
2009 01 03 20 50 177 10.7 999 99.0 9999
2009 01 03 21 00 173  9.7 177 12.7 2040
2009 01 03 21 10 177 10.2 999 99.0 9999
2009 01 03 21 20 176 10.9 999 99.0 9999
2009 01 03 21 30 181 10.2 999 99.0 9999
2009 01 03 21 40 181 10.1 999 99.0 9999
2009 01 03 21 50 181 11.4 999 99.0 9999
2009 01 03 22 00 181 10.9 174 13.2 2116
2009 01 03 22 10 190 11.2 999 99.0 9999
2009 01 03 22 20 192 12.1 999 99.0 9999
2009 01 03 22 30 190 10.8 999 99.0 9999
2009 01 03 22 40 186 11.2 999 99.0 9999
2009 01 03 22 50 188 12.7 999 99.0 9999
2009 01 03 23 00 192 11.8 188 15.1 2242
2009 01 03 23 10 192 12.1 999 99.0 9999
2009 01 03 23 20 194 10.6 999 99.0 9999
2009 01 03 23 30 192  9.7 999 99.0 9999
2009 01 03 23 40 191  9.9 999 99.0 9999
2009 01 03 23 50 192 10.2 999 99.0 9999
2009 01 04 00 00 191 10.0 192 15.4 2304
2009 01 04 00 10 194 10.8 999 99.0 9999
2009 01 04 00 20 190 11.0 999 99.0 9999
2009 01 04 00 30 190 11.4 999 99.0 9999
2009 01 04 00 40 192 11.2 999 99.0 9999
2009 01 04 00 50 191 10.9 999 99.0 9999
